Program,Heap_Used_Bytes,Available_Memory_Bytes,Total_Memory_Bytes,Memory_Utilization_Percent,Timestamp_Cycles
malloc-large.ke,49680384,486912000,536928256,9.25,35125751526
malloc-large.ke,49426432,487165952,536928256,9.21,35125753211
malloc-large.ke,49848320,486744064,536928256,9.28,35125763274
malloc-large.ke,49520640,487071744,536928256,9.22,35125765098
malloc-large.ke,49741824,486850560,536928256,9.26,35125770090
malloc-large.ke,49311744,487280640,536928256,9.18,35125772255
malloc-large.ke,49528832,487063552,536928256,9.22,35126553304
malloc-large.ke,6402048,530190336,536928256,1.19,35126649203
malloc-large.ke,6873088,529719296,536928256,1.28,35126665193
malloc-large.ke,6631424,529960960,536928256,1.24,35126667625
malloc-large.ke,6983680,529608704,536928256,1.30,35126675929
malloc-large.ke,6512640,530079744,536928256,1.21,35126678953
malloc-large.ke,7016448,529575936,536928256,1.31,35126695258
malloc-large.ke,6795264,529797120,536928256,1.27,35126697531
malloc-large.ke,6963200,529629184,536928256,1.30,35126703660
malloc-large.ke,6520832,530071552,536928256,1.21,35126707238
malloc-large.ke,6705152,529887232,536928256,1.25,35126719267
malloc-large.ke,6225920,530366464,536928256,1.16,35126725131
malloc-large.ke,6545408,530046976,536928256,1.22,35126737288
malloc-large.ke,6156288,530436096,536928256,1.15,35126740374
malloc-large.ke,6475776,530116608,536928256,1.21,35126751413
malloc-large.ke,6324224,530268160,536928256,1.18,35126753960
malloc-large.ke,6643712,529948672,536928256,1.24,35127028321
malloc-large.ke,6475776,530116608,536928256,1.21,35127030585
malloc-large.ke,6672384,529920000,536928256,1.24,35127035234
malloc-large.ke,6406144,530186240,536928256,1.19,35127038756
malloc-large.ke,6787072,529805312,536928256,1.26,35127051296
malloc-large.ke,6569984,530022400,536928256,1.22,35127055757
malloc-large.ke,6778880,529813504,536928256,1.26,35127065054
malloc-large.ke,6569984,530022400,536928256,1.22,35127068016
malloc-large.ke,6914048,529678336,536928256,1.29,35127082325
malloc-large.ke,6410240,530182144,536928256,1.19,35127086314
malloc-large.ke,6676480,529915904,536928256,1.24,35127092488
malloc-large.ke,6361088,530231296,536928256,1.18,35127094928
malloc-large.ke,6819840,529772544,536928256,1.27,35127102722
malloc-large.ke,6619136,529973248,536928256,1.23,35127104720
malloc-large.ke,6815744,529776640,536928256,1.27,35127110135
malloc-large.ke,6336512,530255872,536928256,1.18,35127112171
malloc-large.ke,6832128,529760256,536928256,1.27,35127247465
malloc-large.ke,6512640,530079744,536928256,1.21,35127252028
malloc-large.ke,7000064,529592320,536928256,1.30,35127267173
malloc-large.ke,6578176,530014208,536928256,1.23,35127269195
malloc-large.ke,7073792,529518592,536928256,1.32,35127279876
malloc-large.ke,6615040,529977344,536928256,1.23,35127281978
malloc-large.ke,7049216,529543168,536928256,1.31,35127289608
malloc-large.ke,6729728,529862656,536928256,1.25,35127291422
malloc-large.ke,7221248,529371136,536928256,1.34,35127300323
malloc-large.ke,6799360,529793024,536928256,1.27,35127302250
malloc-large.ke,7307264,529285120,536928256,1.36,35127313125
malloc-large.ke,7110656,529481728,536928256,1.32,35127314725
malloc-large.ke,7602176,528990208,536928256,1.42,35127327949
malloc-large.ke,7430144,529162240,536928256,1.38,35127329630
malloc-large.ke,7708672,528883712,536928256,1.44,35127335151
malloc-large.ke,7213056,529379328,536928256,1.34,35127337551
malloc-large.ke,7725056,528867328,536928256,1.44,35127513771
malloc-large.ke,7528448,529063936,536928256,1.40,35127515862
malloc-large.ke,7741440,528850944,536928256,1.44,35127521060
malloc-large.ke,7307264,529285120,536928256,1.36,35127523178
malloc-large.ke,7479296,529113088,536928256,1.39,35127526869
malloc-large.ke,7286784,529305600,536928256,1.36,35127528933
malloc-large.ke,7684096,528908288,536928256,1.43,35127537750
malloc-large.ke,7176192,529416192,536928256,1.34,35127540046
malloc-large.ke,7479296,529113088,536928256,1.39,35127547021
malloc-large.ke,7135232,529457152,536928256,1.33,35127549108
malloc-large.ke,7319552,529272832,536928256,1.36,35127553025
malloc-large.ke,6828032,529764352,536928256,1.27,35127554949
malloc-large.ke,7340032,529252352,536928256,1.37,35127568408
malloc-large.ke,6848512,529743872,536928256,1.28,35127572215
malloc-large.ke,7258112,529334272,536928256,1.35,35127580728
malloc-large.ke,7073792,529518592,536928256,0.00,35127582415
malloc-large.ke,49668096,486924288,536928256,9.25,35128519755
malloc-large.ke,49287168,487305216,536928256,9.18,35128523848
malloc-large.ke,49487872,487104512,536928256,9.22,35128531033
malloc-large.ke,49168384,487424000,536928256,9.16,35128534027
malloc-large.ke,49467392,487124992,536928256,9.21,35128544246
malloc-large.ke,49057792,487534592,536928256,9.14,35128546720
malloc-large.ke,49246208,487346176,536928256,9.17,35128550966
malloc-large.ke,49074176,487518208,536928256,9.14,35128553346
malloc-large.ke,49377280,487215104,536928256,9.20,35128560068
malloc-large.ke,49188864,487403520,536928256,9.16,35128561555
malloc-large.ke,49446912,487145472,536928256,9.21,35128568867
malloc-large.ke,49143808,487448576,536928256,9.15,35128570563
malloc-large.ke,49577984,487014400,536928256,9.23,35128579758
malloc-large.ke,49082368,487510016,536928256,9.14,35128581843
malloc-large.ke,49348608,487243776,536928256,9.19,35128588057
malloc-large.ke,48844800,487747584,536928256,0.00,35128590084
malloc-large.ke,49229824,487362560,536928256,9.17,35129507608
malloc-large.ke,48971776,487620608,536928256,9.12,35129509701
malloc-large.ke,49438720,487153664,536928256,9.21,35129520543
malloc-large.ke,6844416,529747968,536928256,1.27,35129615410
malloc-large.ke,7245824,529346560,536928256,1.35,35129628205
malloc-large.ke,7045120,529547264,536928256,1.31,35129630010
malloc-large.ke,7442432,529149952,536928256,1.39,35129637589
malloc-large.ke,6942720,529649664,536928256,1.29,35129639720
malloc-large.ke,7344128,529248256,536928256,1.37,35129650150
malloc-large.ke,7041024,529551360,536928256,1.31,35129651882
malloc-large.ke,7401472,529190912,536928256,1.38,35129660800
malloc-large.ke,6889472,529702912,536928256,1.28,35129662986
malloc-large.ke,7036928,529555456,536928256,1.31,35129667571
malloc-large.ke,6770688,529821696,536928256,1.26,35129669321
malloc-large.ke,7094272,529498112,536928256,1.32,35129677933
malloc-large.ke,6660096,529932288,536928256,0.00,35129680054
malloc-large.ke,6942720,529649664,536928256,1.29,35129913937
malloc-large.ke,6676480,529915904,536928256,1.24,35129915883
malloc-large.ke,7077888,529514496,536928256,1.32,35129927082
malloc-large.ke,6676480,529915904,536928256,1.24,35129929593
malloc-large.ke,6889472,529702912,536928256,1.28,35129934566
malloc-large.ke,6610944,529981440,536928256,1.23,35129936129
malloc-large.ke,7073792,529518592,536928256,1.32,35129947648
malloc-large.ke,6860800,529731584,536928256,1.28,35129949617
malloc-large.ke,7049216,529543168,536928256,1.31,35129953364
malloc-large.ke,6750208,529842176,536928256,1.26,35129955011
malloc-large.ke,7262208,529330176,536928256,1.35,35129971116
malloc-large.ke,6799360,529793024,536928256,1.27,35129974305
malloc-large.ke,7045120,529547264,536928256,1.31,35129981000
malloc-large.ke,6692864,529899520,536928256,1.25,35129982956
malloc-large.ke,7041024,529551360,536928256,1.31,35129989032
malloc-large.ke,6529024,530063360,536928256,0.00,35129991180
malloc-large.ke,6852608,529739776,536928256,1.28,35130104672
malloc-large.ke,6492160,530100224,536928256,1.21,35130106595
malloc-large.ke,6709248,529883136,536928256,1.25,35130113359
malloc-large.ke,6496256,530096128,536928256,1.21,35130115023
malloc-large.ke,6791168,529801216,536928256,1.26,35130125973
malloc-large.ke,6508544,530083840,536928256,1.21,35130130396
malloc-large.ke,6668288,529924096,536928256,1.24,35130137196
malloc-large.ke,6270976,530321408,536928256,1.17,35130141594
malloc-large.ke,6512640,530079744,536928256,1.21,35130147082
malloc-large.ke,6086656,530505728,536928256,1.13,35130149216
malloc-large.ke,6430720,530161664,536928256,1.20,35130157701
malloc-large.ke,6283264,530309120,536928256,1.17,35130159324
malloc-large.ke,6656000,529936384,536928256,1.24,35130169002
malloc-large.ke,6467584,530124800,536928256,1.20,35130170549
malloc-large.ke,6705152,529887232,536928256,1.25,35130175638
malloc-large.ke,6520832,530071552,536928256,1.21,35130302960
malloc-large.ke,6905856,529686528,536928256,1.29,35130311775
